Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,0,29,0,111,362,35,2,1,1,25,1946.43,0,115.71666666666667
6,0,37,2,34,39,20,4,1,1,45,179.85,0,54.333333333333336
5,0,33,1,100,16,22,5,1,1,55,130.95,0,117.16666666666667
0,0,36,0,22,0,6,3,1,1,30,57.8,0,23.716666666666665
6,0,9,0,163,56,34,4,1,1,45,357.775,0,142.46666666666667
0,0,23,0,27,181,7,2,2,1,25,858.465,0,15.833333333333334
14,0,43,1,183,18,51,3,1,1,30,649.64,0,237.63333333333333
2,0,35,0,175,134,25,2,1,1,25,1285.425,0,249.83333333333334
0,0,33,0,12,0,7,2,1,2,25,36.315,0,13.25
11,0,42,1,86,40,32,3,1,1,30,312.64,0,62.166666666666664
21,0,19,2,147,92,44,2,2,1,25,722.025,0,111.63333333333334
5,0,35,0,47,40,20,3,1,2,30,238.28,0,31.833333333333332
13,1,25,0,31,0,9,2,1,2,25,18.945,1,6.5
31,1,39,4,236,62,32,3,1,1,30,891.44,0,264.1666666666667
5,0,11,2,45,213,9,3,1,1,30,1034.0,0,75.08333333333333
8,0,34,1,97,7,20,4,1,1,45,194.3,0,116.25
0,0,33,2,105,246,33,2,2,1,25,1393.2,0,104.25
4,1,27,1,36,193,11,2,2,1,25,929.295,1,21.916666666666668
0,0,33,0,0,0,0,2,1,2,25,0.0,1,0.0
1,0,10,1,35,197,12,3,1,1,30,948.8,0,66.41666666666667
2,0,36,0,163,0,42,3,1,1,30,545.24,0,224.46666666666667
3,0,42,0,16,23,12,3,1,2,30,124.24,0,13.166666666666666
14,0,15,0,172,82,43,4,1,1,45,437.35,0,152.03333333333333
11,0,16,1,141,110,44,2,2,1,25,780.48,0,103.38333333333334
4,0,19,0,24,2,7,2,1,1,25,47.88,0,14.0
16,0,15,2,181,94,55,5,1,1,55,286.71,0,158.88333333333333
6,0,32,1,49,167,19,2,1,1,25,880.83,0,47.083333333333336
13,0,39,2,94,10,25,3,1,1,30,252.76,0,87.08333333333333
0,0,33,0,13,0,3,3,1,1,30,50.44,0,20.8
8,0,36,0,79,27,26,3,1,1,30,259.76,0,61.916666666666664
1,0,28,0,91,6,21,4,1,1,45,186.9,0,113.08333333333333
1,0,30,0,66,10,20,2,1,1,25,192.42,0,53.5
6,0,14,0,160,48,40,4,1,1,45,329.55,0,137.03333333333333
4,0,34,0,49,39,18,3,1,2,30,240.76,0,34.5
5,0,32,0,6,7,2,4,1,2,45,25.275,1,5.083333333333333
0,0,35,0,122,386,44,2,1,1,25,2075.175,0,123.21666666666667
12,0,40,0,78,18,15,3,1,1,30,214.32,0,58.0
5,0,11,2,43,220,12,3,1,1,30,1059.72,0,74.16666666666667
0,0,24,0,32,14,63,4,1,1,45,62.625,0,17.883333333333333
3,1,39,1,3,5,2,2,1,1,25,25.335,1,1.0
11,0,39,0,19,15,4,3,1,2,30,106.68,1,19.133333333333333
0,0,34,0,115,345,37,2,1,1,25,1876.635,0,118.13333333333334
30,0,39,3,225,29,30,3,1,1,30,738.2,0,255.5
2,0,10,2,46,247,14,3,1,1,30,1170.04,0,75.08333333333333
6,0,39,1,130,389,45,3,1,1,30,1863.92,0,126.13333333333334
0,0,36,0,7,0,3,2,1,2,25,9.99,0,3.5833333333333335
0,0,35,0,111,356,26,2,1,1,25,1904.13,0,110.05
4,0,36,0,83,11,31,2,1,1,25,229.095,0,65.13333333333334
13,0,39,2,99,17,30,3,1,1,30,261.28,0,78.88333333333334
21,1,40,8,97,9,46,5,2,1,55,170.805,0,173.16666666666666
15,1,42,0,52,51,37,4,1,2,45,195.125,1,44.21666666666667
5,0,10,0,157,55,33,4,1,1,45,352.625,0,140.8
21,0,23,2,151,100,48,2,2,1,25,756.18,0,110.88333333333334
36,0,41,5,242,69,34,3,2,1,30,931.88,0,269.25
10,0,19,3,53,42,24,3,1,1,30,291.44,0,50.55
16,0,46,2,111,29,20,3,1,1,30,379.76,0,108.05
0,1,3,0,9,0,1,2,1,1,25,55.665,1,20.466666666666665
12,0,40,5,124,288,39,3,2,1,30,1450.96,0,122.5
0,0,31,0,0,0,0,2,1,2,25,0.0,0,0.0
0,0,31,0,5,0,12,3,1,1,30,73.2,0,30.416666666666668
4,0,36,1,25,5,16,3,1,1,30,137.0,0,48.333333333333336
6,0,13,3,37,20,14,3,1,1,30,188.4,0,44.55
8,0,12,3,41,23,15,3,1,1,30,209.56,0,48.3
10,0,34,1,57,172,21,2,1,1,25,911.79,0,50.083333333333336
3,0,23,0,16,0,3,2,1,2,25,15.795,0,5.583333333333333
0,0,37,0,8,32,6,3,1,2,30,138.24,1,4.133333333333334
0,0,34,0,22,0,4,3,1,1,30,65.2,0,26.8
4,0,38,0,156,15,50,3,1,1,30,519.84,0,189.0
5,0,37,0,40,24,7,3,1,2,30,152.4,0,22.833333333333332
5,0,40,0,135,395,48,2,1,1,25,2129.535,0,128.13333333333333
5,0,34,0,6,7,2,3,1,2,30,40.44,1,5.083333333333333
12,0,38,1,154,7,45,3,1,1,30,500.36,0,194.25
1,0,33,1,94,12,22,4,1,1,45,195.85,0,109.0
0,0,39,0,123,387,45,2,1,1,25,2074.77,0,121.38333333333334
12,0,37,1,93,8,26,2,1,1,25,283.77,1,90.21666666666667
8,0,39,0,25,21,8,3,1,2,30,141.8,0,23.666666666666668
14,0,35,1,82,31,29,3,1,1,30,290.48,0,68.0
6,0,34,0,127,383,44,2,1,1,25,2080.8,0,130.21666666666667
9,0,44,2,37,498,14,3,1,1,30,2127.68,0,55.916666666666664
0,0,33,0,66,96,33,2,1,1,25,720.855,0,105.88333333333334
6,1,34,0,41,29,29,3,1,2,30,205.96,1,36.8
18,0,42,2,108,41,30,2,1,1,25,462.87,0,101.3
10,0,40,2,91,14,32,3,1,1,30,222.96,0,68.05
16,1,42,0,53,24,19,3,1,2,30,229.92,1,54.916666666666664
7,0,41,1,158,19,51,4,1,1,45,336.95,0,190.33333333333334
27,0,38,3,226,63,35,3,1,1,30,874.24,0,255.5
5,0,35,1,6,7,2,5,1,1,55,15.165,0,5.083333333333333
9,0,28,0,26,49,20,4,1,2,45,166.4,0,28.833333333333332
0,0,23,0,22,0,66,4,1,1,45,14.375,0,9.216666666666667
0,0,35,0,166,122,13,2,1,1,25,1212.57,0,243.0
1,0,34,1,78,175,21,3,1,1,30,955.92,0,105.33333333333333
28,0,35,3,225,53,33,3,1,1,30,838.8,0,257.4166666666667
6,0,38,0,95,7,12,3,1,1,30,268.52,0,98.63333333333334
1,0,34,0,119,373,38,2,1,1,25,2013.615,0,122.13333333333334
0,0,33,0,5,0,7,2,1,2,25,23.175,0,8.5
5,0,36,0,60,384,26,3,1,1,30,1628.92,0,37.71666666666667
8,0,37,0,174,1,42,3,1,1,30,578.08,0,236.3
8,0,24,1,43,27,66,4,1,1,45,113.4,0,29.883333333333333
8,0,32,0,42,24,27,3,1,2,30,185.2,1,36.46666666666667
6,1,37,0,46,38,34,3,1,2,30,239.56,1,35.71666666666667
21,0,17,3,187,101,57,5,1,1,55,301.875,0,163.96666666666667
6,0,39,2,89,191,28,3,1,1,30,1029.96,0,109.33333333333333
14,0,38,0,182,125,28,2,1,1,25,1276.065,0,261.25
4,0,36,1,91,187,24,3,1,1,30,1027.84,0,115.08333333333333
0,0,33,0,25,267,11,3,1,1,30,1144.0,0,31.25
8,0,33,0,180,140,26,2,1,1,25,1331.325,0,256.75
20,0,40,2,199,165,32,2,1,1,25,1493.955,0,275.0
28,0,40,4,228,59,34,3,1,1,30,853.12,0,253.33333333333334
6,0,38,0,70,0,14,3,1,1,30,170.0,0,69.66666666666667
0,0,23,0,0,0,0,2,1,1,25,0.0,0,0.0
13,0,44,1,81,20,23,3,1,1,30,268.44,0,77.16666666666667
3,0,39,0,33,11,11,3,1,1,30,119.24,0,30.8
7,0,42,1,97,17,16,3,1,1,30,311.8,0,99.96666666666667
6,0,16,3,42,29,19,3,1,1,30,222.0,0,43.46666666666667
0,0,36,1,4,4,2,5,1,1,55,11.13,0,5.633333333333334
0,0,39,0,25,1,5,4,1,1,45,37.2,0,22.716666666666665
0,0,35,1,93,17,24,4,1,1,45,208.825,0,109.33333333333333
0,0,38,0,13,4,5,3,1,2,30,37.32,0,8.666666666666666
0,1,9,0,9,0,3,3,1,1,30,35.88,1,14.8
11,0,26,0,19,0,3,2,1,2,25,27.18,0,9.75
8,0,19,1,37,36,14,2,1,1,25,271.89,0,40.083333333333336
6,0,34,0,42,34,17,3,1,2,30,209.28,0,29.833333333333332
5,0,24,1,59,7,20,3,1,1,30,164.36,0,55.833333333333336
10,0,35,2,104,30,27,5,1,1,55,155.76,0,121.33333333333333
8,0,34,1,67,7,13,3,1,1,30,207.28,0,73.58333333333333
16,0,44,2,92,47,34,3,1,1,30,353.08,0,67.25
7,0,36,0,148,0,43,3,1,1,30,459.92,0,189.16666666666666
0,0,36,0,76,0,20,3,1,1,30,163.84,0,67.0
4,0,40,1,154,12,46,4,1,1,45,312.85,0,186.0
2,0,22,0,30,36,18,2,1,1,25,237.6,0,27.5
17,0,41,2,191,162,34,2,1,1,25,1450.845,0,264.1666666666667
17,0,46,3,99,24,33,4,1,1,45,189.475,0,84.66666666666667
11,0,40,1,101,14,14,3,1,1,30,308.96,0,103.71666666666667
2,0,35,1,19,472,3,3,1,1,30,2005.36,0,48.583333333333336
16,0,35,2,96,22,21,2,1,1,25,370.755,1,99.05
5,0,34,0,10,7,4,3,1,2,30,58.6,0,12.583333333333334
1,0,39,0,9,0,10,3,1,2,30,12.56,0,5.083333333333333
4,0,36,1,27,0,13,3,1,1,30,119.28,0,49.25
6,0,39,1,132,382,42,3,1,1,30,1838.2,0,127.05
8,1,35,1,98,51,26,2,1,1,25,487.17,1,93.8
0,0,13,1,28,0,17,3,1,1,30,74.6,0,30.616666666666667
8,0,34,3,117,280,36,2,2,1,25,1587.24,0,119.25
0,0,35,0,15,444,2,3,1,1,30,1883.6,0,44.583333333333336
0,0,18,0,23,26,14,2,1,1,25,183.285,0,24.166666666666668
13,0,41,2,125,152,47,3,1,1,30,975.8,0,151.16666666666666
0,0,35,0,18,14,24,2,1,2,25,116.46,0,19.5
0,0,30,0,55,0,9,2,1,1,25,173.7,0,63.416666666666664
0,1,34,0,0,0,0,4,1,2,45,0.0,1,0.0
0,0,34,0,0,0,0,3,1,2,30,0.0,1,0.0
5,0,22,0,20,0,7,1,1,1,15,45.375,0,13.416666666666666
0,0,34,0,49,0,29,1,1,1,15,114.235,0,33.8
5,0,37,0,66,26,37,1,1,1,15,367.07,0,66.8
0,0,36,0,23,257,1,3,1,1,30,1087.12,0,24.25
7,0,35,1,90,183,24,3,1,1,30,1004.6,0,112.08333333333333
0,0,30,0,20,0,10,3,1,1,30,111.2,0,46.0
0,0,35,0,78,0,10,2,1,1,25,224.145,0,81.71666666666667
13,0,39,1,180,8,44,3,1,1,30,618.52,0,241.38333333333333
6,0,38,0,40,294,21,3,1,1,30,1279.6,0,42.5
4,0,34,0,82,0,7,2,1,1,25,224.775,1,81.88333333333334
4,0,31,1,40,201,15,2,2,1,25,963.45,0,21.166666666666668
19,1,43,0,57,31,24,3,1,2,30,268.48,1,59.25
23,0,29,0,43,8,13,2,1,2,25,82.935,1,16.666666666666668
11,0,37,0,76,0,24,2,1,1,25,168.12,0,61.0
7,0,41,0,66,2,34,1,1,1,15,228.745,0,64.88333333333334
2,0,34,1,106,250,18,2,2,1,25,1416.195,0,106.08333333333333
2,0,27,1,35,184,8,2,2,1,25,880.2,0,18.75
5,0,37,1,153,2,44,4,1,1,45,290.7,0,187.91666666666666
0,0,21,0,0,3,0,4,1,2,45,7.5,0,0.0
18,0,17,1,142,94,45,2,2,1,25,725.58,0,109.7
3,0,41,1,90,194,30,3,1,1,30,1037.8,0,107.58333333333333
8,0,25,0,31,10,10,2,1,1,25,92.97,0,17.25
6,1,30,1,44,204,16,2,2,1,25,987.255,1,24.916666666666668
0,0,18,0,16,7,6,2,1,1,25,81.495,0,18.25
0,0,4,0,34,207,9,3,1,1,30,1004.96,0,73.16666666666667
9,0,27,1,68,24,28,3,1,1,30,247.52,0,62.0
1,0,9,1,18,0,4,3,1,1,30,52.6,1,21.616666666666667
12,0,19,1,137,88,44,1,2,1,15,830.775,0,102.8
10,0,44,3,98,201,29,4,1,1,45,675.075,0,113.41666666666667
10,0,42,1,141,402,50,3,1,1,30,1933.36,0,133.21666666666667
8,0,38,0,96,16,15,3,1,1,30,312.16,0,101.8
17,0,43,1,80,19,42,1,1,1,15,366.465,0,78.05
5,0,38,0,6,7,2,4,1,2,45,25.275,1,5.083333333333333
11,0,41,0,62,19,22,3,1,2,30,175.2,0,40.3
0,0,33,0,81,0,5,2,1,1,25,248.13,0,90.55
0,0,34,0,12,0,4,3,1,1,30,90.08,0,37.333333333333336
0,0,31,0,39,157,16,2,1,1,25,811.53,0,38.25
9,0,11,2,47,231,15,3,1,1,30,1121.28,0,81.41666666666667
4,0,31,3,108,260,28,2,2,1,25,1480.185,0,113.08333333333333
1,0,31,0,146,0,41,3,1,1,30,449.04,0,184.66666666666666
0,0,34,0,58,76,35,2,1,1,25,601.245,0,95.05
14,0,34,2,55,52,76,5,1,1,55,110.82,0,35.55
9,0,43,1,175,8,45,3,1,1,30,589.92,0,229.55
10,0,21,1,28,11,9,2,1,1,25,107.91,0,21.166666666666668
5,0,5,1,36,207,6,3,1,1,30,1006.84,0,73.91666666666667
11,0,20,3,42,56,31,3,1,1,30,329.68,0,43.333333333333336
26,0,38,9,99,8,44,5,1,1,55,174.585,0,179.0
1,1,43,0,7,17,8,3,1,2,30,84.2,1,6.633333333333334
5,0,38,0,78,7,15,3,1,1,30,168.04,0,57.05
1,0,26,0,56,0,25,3,1,1,30,115.04,0,47.0
18,0,41,2,69,371,28,3,1,1,30,1599.48,0,46.96666666666667
5,0,36,0,60,0,33,1,1,1,15,217.415,0,64.88333333333334
2,0,37,0,8,0,4,2,1,2,25,27.135,0,9.916666666666666
6,0,35,2,102,12,21,5,1,1,55,123.03,0,115.0
6,0,11,2,39,23,18,3,1,1,30,207.64,0,47.53333333333333
15,0,26,0,32,7,11,2,1,1,25,96.615,0,23.583333333333332
6,0,38,1,28,492,11,3,1,1,30,2100.52,0,54.75
0,0,16,0,21,30,15,2,1,1,25,207.045,0,26.333333333333332
5,0,35,0,54,0,29,1,1,1,15,210.76,0,62.96666666666667
7,0,34,1,165,7,40,3,1,1,30,587.32,0,230.3
13,0,27,0,26,19,10,2,1,2,25,126.72,0,14.833333333333334
5,1,37,0,37,12,18,2,1,2,25,180.09,1,46.083333333333336
0,0,17,0,45,0,15,3,1,1,30,108.2,0,44.333333333333336
14,0,43,1,192,165,36,2,1,1,25,1459.665,0,262.4166666666667
5,0,35,1,80,7,25,3,1,1,30,184.92,0,64.05
7,0,28,2,73,47,29,4,1,1,45,210.45,0,60.75
8,0,36,0,58,22,30,3,1,2,30,191.64,0,42.21666666666667
11,0,33,2,51,45,71,5,1,1,55,96.36,0,31.216666666666665
0,0,35,0,80,179,24,3,1,1,30,967.0,0,103.25
17,0,39,1,67,375,29,3,1,1,30,1620.6,0,49.13333333333333
12,0,39,1,187,148,29,2,1,1,25,1376.415,0,260.0
4,0,18,3,41,34,21,3,1,1,30,242.76,0,43.8
7,0,42,0,14,18,7,2,1,2,25,103.455,1,8.083333333333334
10,0,25,0,29,24,20,2,1,2,25,154.08,0,16.583333333333332
9,0,38,0,170,9,47,3,1,1,30,601.32,0,232.71666666666667
0,0,31,1,99,239,31,2,2,1,25,1347.705,0,99.16666666666667
9,0,35,1,51,171,20,2,1,1,25,902.52,0,48.416666666666664
2,0,30,0,170,135,27,2,1,1,25,1298.25,0,253.0
10,0,37,0,60,359,24,3,1,1,30,1536.52,0,40.88333333333333
0,0,30,0,67,0,17,3,1,1,30,160.68,0,65.83333333333333
1,0,36,0,36,280,16,3,1,1,30,1213.44,0,38.333333333333336
24,0,29,4,242,14,93,2,1,1,25,810.54,0,272.8333333333333
0,0,32,1,26,14,27,3,1,1,30,182.44,0,52.25
0,0,36,0,0,0,0,2,1,2,25,0.0,0,0.0
0,0,27,0,87,0,16,4,1,1,45,165.3,0,108.75
7,0,42,1,87,10,29,3,1,1,30,222.28,0,74.5
